Epoch,loss,accuracy,val_loss,val_accuracy
0,0.1970808506011963,0.95652174949646,1.9454922676086426,0.800000011920929
1,0.17176273465156555,0.9739130139350891,1.9748711585998535,0.800000011920929
2,0.15654730796813965,0.9826086759567261,1.971916675567627,0.800000011920929
3,0.04044610261917114,0.9826086759567261,1.954230546951294,0.8199999928474426
4,0.033914197236299515,0.991304337978363,1.948276162147522,0.8199999928474426
5,0.18080919981002808,0.9739130139350891,1.9549146890640259,0.8199999928474426
6,0.026020998135209084,0.991304337978363,1.9663195610046387,0.800000011920929
7,0.06021295115351677,0.9652174115180969,1.7276599407196045,0.800000011920929
8,0.027484655380249023,0.9826086759567261,1.698380470275879,0.800000011920929
9,0.04028020426630974,0.9826086759567261,1.6774753332138062,0.800000011920929
10,0.171784907579422,0.9739130139350891,1.6723699569702148,0.800000011920929
11,0.043474726378917694,0.9739130139350891,1.665016770362854,0.800000011920929
12,0.1687786877155304,0.9739130139350891,1.6604670286178589,0.8199999928474426
13,0.04994649440050125,0.9739130139350891,1.6711437702178955,0.8199999928474426
14,0.019256042316555977,1.0,1.7141060829162598,0.8199999928474426
15,0.030153755098581314,0.9826086759567261,1.7365050315856934,0.8199999928474426
16,0.15531836450099945,0.991304337978363,1.7613493204116821,0.8199999928474426
17,0.03611808270215988,0.9826086759567261,1.9471052885055542,0.8199999928474426
18,0.15164399147033691,0.991304337978363,1.9526475667953491,0.8199999928474426
19,0.08142382651567459,0.9652174115180969,1.7047107219696045,0.800000011920929
