Epoch,loss,accuracy,val_loss,val_accuracy
0,1.2270393371582031,0.8482142686843872,1.1885966062545776,0.7916666865348816
1,1.1605409383773804,0.8928571343421936,1.1990782022476196,0.7916666865348816
2,0.7626687288284302,0.9107142686843872,1.1862661838531494,0.7916666865348816
3,0.9249443411827087,0.875,1.1993967294692993,0.7916666865348816
4,1.0593827962875366,0.875,1.2303074598312378,0.7916666865348816
5,0.892034649848938,0.9107142686843872,1.2404671907424927,0.8125
6,0.948950469493866,0.8928571343421936,1.4999028444290161,0.8125
7,1.128891944885254,0.9107142686843872,1.735817790031433,0.8125
8,1.0246895551681519,0.9017857313156128,1.731431007385254,0.8125
9,1.0301896333694458,0.8928571343421936,1.7273253202438354,0.8125
10,1.1444568634033203,0.9017857313156128,1.7346824407577515,0.8125
11,1.027862787246704,0.9107142686843872,1.74905526638031,0.8333333134651184
12,1.0442944765090942,0.8839285969734192,1.7339401245117188,0.8125
13,1.036179542541504,0.9107142686843872,1.7463165521621704,0.8125
14,1.0355168581008911,0.9017857313156128,1.748907208442688,0.7916666865348816
15,0.8114363551139832,0.8928571343421936,1.7340129613876343,0.8125
16,1.1878050565719604,0.9017857313156128,1.7246040105819702,0.8333333134651184
17,1.2921923398971558,0.8928571343421936,1.7199143171310425,0.8333333134651184
18,1.002055048942566,0.9196428656578064,1.7139836549758911,0.8333333134651184
19,0.6235653758049011,0.9375,1.7138056755065918,0.8333333134651184
