Epoch,loss,accuracy,val_loss,val_accuracy
0,0.6936006546020508,0.9196428656578064,1.7724084854125977,0.8333333134651184
1,0.6576172709465027,0.8839285969734192,1.7801564931869507,0.8333333134651184
2,0.9612737894058228,0.875,1.771657109260559,0.8333333134651184
3,0.6345316171646118,0.9375,1.7673869132995605,0.8333333134651184
4,1.0080639123916626,0.9196428656578064,1.758440375328064,0.8333333134651184
5,0.49082592129707336,0.9285714030265808,1.7494635581970215,0.8333333134651184
6,0.5473487973213196,0.8839285969734192,1.74114990234375,0.8333333134651184
7,0.7714505195617676,0.9107142686843872,1.7314109802246094,0.8541666865348816
8,0.9014601707458496,0.9017857313156128,1.727732539176941,0.8541666865348816
9,0.8987172842025757,0.9196428656578064,1.728318691253662,0.8541666865348816
10,0.6134139895439148,0.9375,1.7355328798294067,0.8541666865348816
11,0.7812929749488831,0.8928571343421936,1.7419315576553345,0.8541666865348816
12,0.5438259840011597,0.9375,1.746336817741394,0.8541666865348816
13,0.5258311629295349,0.9285714030265808,1.7469056844711304,0.8541666865348816
14,0.7573789358139038,0.9107142686843872,1.7514234781265259,0.8541666865348816
15,0.47193342447280884,0.9553571343421936,1.75791597366333,0.8541666865348816
16,0.7655304670333862,0.9285714030265808,1.7709864377975464,0.8541666865348816
17,0.33766740560531616,0.9553571343421936,1.7833271026611328,0.8333333134651184
18,0.636081874370575,0.9107142686843872,1.7903927564620972,0.8333333134651184
19,0.9159539937973022,0.9196428656578064,1.778853416442871,0.8333333134651184
